Delivery Day,Hours,"Prices
(EUR/MWh)",datetime
1/4/2020,H20,25.83,2020-01-04 20:00:00
1/4/2020,H21,29.95,2020-01-04 21:00:00
1/4/2020,H22,24.05,2020-01-04 22:00:00
1/4/2020,H23,23.36,2020-01-04 23:00:00
1/4/2020,H24,20.57,2020-01-04 00:00:00
1/5/2020,H1,9.49,2020-01-05 01:00:00
1/5/2020,H2,7.33,2020-01-05 02:00:00
1/5/2020,H3,4.24,2020-01-05 03:00:00
1/5/2020,H4,5.45,2020-01-05 04:00:00
1/5/2020,H5,10.01,2020-01-05 05:00:00
1/5/2020,H6,11.94,2020-01-05 06:00:00
1/5/2020,H7,11.49,2020-01-05 07:00:00
1/5/2020,H8,14.3,2020-01-05 08:00:00
1/5/2020,H9,13.0,2020-01-05 09:00:00
1/5/2020,H10,11.02,2020-01-05 10:00:00
1/5/2020,H11,4.99,2020-01-05 11:00:00
1/5/2020,H12,4.87,2020-01-05 12:00:00
1/5/2020,H13,5.22,2020-01-05 13:00:00
1/5/2020,H14,14.31,2020-01-05 14:00:00
1/5/2020,H15,24.97,2020-01-05 15:00:00
1/5/2020,H16,35.99,2020-01-05 16:00:00
1/5/2020,H17,65.88,2020-01-05 17:00:00
1/5/2020,H18,37.49,2020-01-05 18:00:00
1/5/2020,H19,32.3,2020-01-05 19:00:00
1/5/2020,H20,21.7,2020-01-05 20:00:00
1/5/2020,H21,22.01,2020-01-05 21:00:00
1/5/2020,H22,19.53,2020-01-05 22:00:00
1/5/2020,H23,19.0,2020-01-05 23:00:00
1/5/2020,H24,18.54,2020-01-05 00:00:00
1/6/2020,H1,9.91,2020-01-06 01:00:00
1/6/2020,H2,10.3,2020-01-06 02:00:00
1/6/2020,H3,18.09,2020-01-06 03:00:00
1/6/2020,H4,26.44,2020-01-06 04:00:00
1/6/2020,H5,26.04,2020-01-06 05:00:00
1/6/2020,H6,25.59,2020-01-06 06:00:00
1/6/2020,H7,24.67,2020-01-06 07:00:00
1/6/2020,H8,22.07,2020-01-06 08:00:00
1/6/2020,H9,21.03,2020-01-06 09:00:00
1/6/2020,H10,19.63,2020-01-06 10:00:00
1/6/2020,H11,18.21,2020-01-06 11:00:00
1/6/2020,H12,17.97,2020-01-06 12:00:00
1/6/2020,H13,18.85,2020-01-06 13:00:00
1/6/2020,H14,22.04,2020-01-06 14:00:00
1/6/2020,H15,30.01,2020-01-06 15:00:00
1/6/2020,H16,35.97,2020-01-06 16:00:00
1/6/2020,H17,39.92,2020-01-06 17:00:00
1/6/2020,H18,37.97,2020-01-06 18:00:00
1/6/2020,H19,31.79,2020-01-06 19:00:00
1/6/2020,H20,24.98,2020-01-06 20:00:00
1/6/2020,H21,21.91,2020-01-06 21:00:00
1/6/2020,H22,16.48,2020-01-06 22:00:00
1/6/2020,H23,13.93,2020-01-06 23:00:00
1/6/2020,H24,11.09,2020-01-06 00:00:00
1/7/2020,H1,25.0,2020-01-07 01:00:00
1/7/2020,H2,28.14,2020-01-07 02:00:00
1/7/2020,H3,48.07,2020-01-07 03:00:00
1/7/2020,H4,47.96,2020-01-07 04:00:00
1/7/2020,H5,46.12,2020-01-07 05:00:00
1/7/2020,H6,42.24,2020-01-07 06:00:00
1/7/2020,H7,41.03,2020-01-07 07:00:00
1/7/2020,H8,43.0,2020-01-07 08:00:00
1/7/2020,H9,43.53,2020-01-07 09:00:00
1/7/2020,H10,44.52,2020-01-07 10:00:00
1/7/2020,H11,43.19,2020-01-07 11:00:00
1/7/2020,H12,44.0,2020-01-07 12:00:00
1/7/2020,H13,44.63,2020-01-07 13:00:00
1/7/2020,H14,45.03,2020-01-07 14:00:00
1/7/2020,H15,47.28,2020-01-07 15:00:00
1/7/2020,H16,49.0,2020-01-07 16:00:00
1/7/2020,H17,48.92,2020-01-07 17:00:00
1/7/2020,H18,48.33,2020-01-07 18:00:00
1/7/2020,H19,49.33,2020-01-07 19:00:00
1/7/2020,H20,44.4,2020-01-07 20:00:00
1/7/2020,H21,15.37,2020-01-07 21:00:00
1/7/2020,H22,10.63,2020-01-07 22:00:00
1/7/2020,H23,9.81,2020-01-07 23:00:00
1/7/2020,H24,9.29,2020-01-07 00:00:00
1/8/2020,H1,24.01,2020-01-08 01:00:00
1/8/2020,H2,23.6,2020-01-08 02:00:00
1/8/2020,H3,27.79,2020-01-08 03:00:00
1/8/2020,H4,40.77,2020-01-08 04:00:00
1/8/2020,H5,43.26,2020-01-08 05:00:00
1/8/2020,H6,41.56,2020-01-08 06:00:00
1/8/2020,H7,42.64,2020-01-08 07:00:00
1/8/2020,H8,40.22,2020-01-08 08:00:00
1/8/2020,H9,42.0,2020-01-08 09:00:00
1/8/2020,H10,40.77,2020-01-08 10:00:00
1/8/2020,H11,40.77,2020-01-08 11:00:00
1/8/2020,H12,42.69,2020-01-08 12:00:00
1/8/2020,H13,45.32,2020-01-08 13:00:00
1/8/2020,H14,53.6,2020-01-08 14:00:00
1/8/2020,H15,51.98,2020-01-08 15:00:00
1/8/2020,H16,52.98,2020-01-08 16:00:00
1/8/2020,H17,60.47,2020-01-08 17:00:00
1/8/2020,H18,55.67,2020-01-08 18:00:00
1/8/2020,H19,44.01,2020-01-08 19:00:00
1/8/2020,H20,40.01,2020-01-08 20:00:00
1/8/2020,H21,33.11,2020-01-08 21:00:00
1/8/2020,H22,27.34,2020-01-08 22:00:00
1/8/2020,H23,24.66,2020-01-08 23:00:00
1/8/2020,H24,24.93,2020-01-08 00:00:00
1/9/2020,H1,36.42,2020-01-09 01:00:00
1/9/2020,H2,40.45,2020-01-09 02:00:00
1/9/2020,H3,52.94,2020-01-09 03:00:00
1/9/2020,H4,65.48,2020-01-09 04:00:00
1/9/2020,H5,70.95,2020-01-09 05:00:00
1/9/2020,H6,68.3,2020-01-09 06:00:00
1/9/2020,H7,64.47,2020-01-09 07:00:00
1/9/2020,H8,61.9,2020-01-09 08:00:00
1/9/2020,H9,59.42,2020-01-09 09:00:00
1/9/2020,H10,57.31,2020-01-09 10:00:00
1/9/2020,H11,52.73,2020-01-09 11:00:00
1/9/2020,H12,52.73,2020-01-09 12:00:00
1/9/2020,H13,55.29,2020-01-09 13:00:00
1/9/2020,H14,62.05,2020-01-09 14:00:00
1/9/2020,H15,68.36,2020-01-09 15:00:00
1/9/2020,H16,73.2,2020-01-09 16:00:00
1/9/2020,H17,66.7,2020-01-09 17:00:00
1/9/2020,H18,57.0,2020-01-09 18:00:00
1/9/2020,H19,48.85,2020-01-09 19:00:00
1/9/2020,H20,41.0,2020-01-09 20:00:00
1/9/2020,H21,39.04,2020-01-09 21:00:00
1/9/2020,H22,28.05,2020-01-09 22:00:00
1/9/2020,H23,24.99,2020-01-09 23:00:00
1/9/2020,H24,24.2,2020-01-09 00:00:00
1/10/2020,H1,32.36,2020-01-10 01:00:00
1/10/2020,H2,35.44,2020-01-10 02:00:00
1/10/2020,H3,47.0,2020-01-10 03:00:00
1/10/2020,H4,56.0,2020-01-10 04:00:00
1/10/2020,H5,59.5,2020-01-10 05:00:00
1/10/2020,H6,55.2,2020-01-10 06:00:00
1/10/2020,H7,51.99,2020-01-10 07:00:00
1/10/2020,H8,49.99,2020-01-10 08:00:00
1/10/2020,H9,47.38,2020-01-10 09:00:00
1/10/2020,H10,47.0,2020-01-10 10:00:00
1/10/2020,H11,44.75,2020-01-10 11:00:00
1/10/2020,H12,45.11,2020-01-10 12:00:00
1/10/2020,H13,48.49,2020-01-10 13:00:00
1/10/2020,H14,53.6,2020-01-10 14:00:00
1/10/2020,H15,58.14,2020-01-10 15:00:00
1/10/2020,H16,66.07,2020-01-10 16:00:00
1/10/2020,H17,54.99,2020-01-10 17:00:00
1/10/2020,H18,46.29,2020-01-10 18:00:00
1/10/2020,H19,43.51,2020-01-10 19:00:00
1/10/2020,H20,37.86,2020-01-10 20:00:00
1/10/2020,H21,42.88,2020-01-10 21:00:00
1/10/2020,H22,39.49,2020-01-10 22:00:00
1/10/2020,H23,36.86,2020-01-10 23:00:00
1/10/2020,H24,36.09,2020-01-10 00:00:00
1/11/2020,H1,5.18,2020-01-11 01:00:00
1/11/2020,H2,5.4,2020-01-11 02:00:00
1/11/2020,H3,7.0,2020-01-11 03:00:00
1/11/2020,H4,8.89,2020-01-11 04:00:00
1/11/2020,H5,13.98,2020-01-11 05:00:00
1/11/2020,H6,17.82,2020-01-11 06:00:00
1/11/2020,H7,19.39,2020-01-11 07:00:00
1/11/2020,H8,20.91,2020-01-11 08:00:00
1/11/2020,H9,20.11,2020-01-11 09:00:00
1/11/2020,H10,16.7,2020-01-11 10:00:00
1/11/2020,H11,19.49,2020-01-11 11:00:00
1/11/2020,H12,29.0,2020-01-11 12:00:00
1/11/2020,H13,38.36,2020-01-11 13:00:00
1/11/2020,H14,43.79,2020-01-11 14:00:00
1/11/2020,H15,39.06,2020-01-11 15:00:00
1/11/2020,H16,38.79,2020-01-11 16:00:00
1/11/2020,H17,35.14,2020-01-11 17:00:00
1/11/2020,H18,32.07,2020-01-11 18:00:00
1/11/2020,H19,24.43,2020-01-11 19:00:00
1/11/2020,H20,14.07,2020-01-11 20:00:00
1/11/2020,H21,34.7,2020-01-11 21:00:00
1/11/2020,H22,33.09,2020-01-11 22:00:00
1/11/2020,H23,31.36,2020-01-11 23:00:00
1/11/2020,H24,30.33,2020-01-11 00:00:00
1/12/2020,H1,33.78,2020-01-12 01:00:00
1/12/2020,H2,37.85,2020-01-12 02:00:00
1/12/2020,H3,52.7,2020-01-12 03:00:00
1/12/2020,H4,64.24,2020-01-12 04:00:00
1/12/2020,H5,72.08,2020-01-12 05:00:00
1/12/2020,H6,72.07,2020-01-12 06:00:00
1/12/2020,H7,71.99,2020-01-12 07:00:00
1/12/2020,H8,72.0,2020-01-12 08:00:00
1/12/2020,H9,71.57,2020-01-12 09:00:00
1/12/2020,H10,71.99,2020-01-12 10:00:00
1/12/2020,H11,70.35,2020-01-12 11:00:00
1/12/2020,H12,76.5,2020-01-12 12:00:00
1/12/2020,H13,81.98,2020-01-12 13:00:00
1/12/2020,H14,86.5,2020-01-12 14:00:00
1/12/2020,H15,80.18,2020-01-12 15:00:00
1/12/2020,H16,73.65,2020-01-12 16:00:00
1/12/2020,H17,66.0,2020-01-12 17:00:00
1/12/2020,H18,55.04,2020-01-12 18:00:00
1/12/2020,H19,52.64,2020-01-12 19:00:00
1/12/2020,H20,47.17,2020-01-12 20:00:00
1/12/2020,H21,10.98,2020-01-12 21:00:00
1/12/2020,H22,8.04,2020-01-12 22:00:00
1/12/2020,H23,7.06,2020-01-12 23:00:00
1/12/2020,H24,6.41,2020-01-12 00:00:00
1/13/2020,H1,31.96,2020-01-13 01:00:00
1/13/2020,H2,35.15,2020-01-13 02:00:00
1/13/2020,H3,43.48,2020-01-13 03:00:00
1/13/2020,H4,50.47,2020-01-13 04:00:00
1/13/2020,H5,52.39,2020-01-13 05:00:00
1/13/2020,H6,53.9,2020-01-13 06:00:00
1/13/2020,H7,52.5,2020-01-13 07:00:00
1/13/2020,H8,52.53,2020-01-13 08:00:00
1/13/2020,H9,52.51,2020-01-13 09:00:00
1/13/2020,H10,50.08,2020-01-13 10:00:00
1/13/2020,H11,50.1,2020-01-13 11:00:00
1/13/2020,H12,61.94,2020-01-13 12:00:00
1/13/2020,H13,69.74,2020-01-13 13:00:00
1/13/2020,H14,73.97,2020-01-13 14:00:00
1/13/2020,H15,77.92,2020-01-13 15:00:00
1/13/2020,H16,66.9,2020-01-13 16:00:00
1/13/2020,H17,57.58,2020-01-13 17:00:00
1/13/2020,H18,56.54,2020-01-13 18:00:00
1/13/2020,H19,52.56,2020-01-13 19:00:00
1/13/2020,H20,44.91,2020-01-13 20:00:00
1/13/2020,H21,36.84,2020-01-13 21:00:00
1/13/2020,H22,34.69,2020-01-13 22:00:00
1/13/2020,H23,34.39,2020-01-13 23:00:00
1/13/2020,H24,33.78,2020-01-13 00:00:00
1/14/2020,H1,15.7,2020-01-14 01:00:00
1/14/2020,H2,16.03,2020-01-14 02:00:00
1/14/2020,H3,26.94,2020-01-14 03:00:00
1/14/2020,H4,32.34,2020-01-14 04:00:00
1/14/2020,H5,32.42,2020-01-14 05:00:00
1/14/2020,H6,34.68,2020-01-14 06:00:00
1/14/2020,H7,35.0,2020-01-14 07:00:00
1/14/2020,H8,35.0,2020-01-14 08:00:00
1/14/2020,H9,34.73,2020-01-14 09:00:00
1/14/2020,H10,33.91,2020-01-14 10:00:00
1/14/2020,H11,33.99,2020-01-14 11:00:00
1/14/2020,H12,35.94,2020-01-14 12:00:00
1/14/2020,H13,43.95,2020-01-14 13:00:00
1/14/2020,H14,50.02,2020-01-14 14:00:00
1/14/2020,H15,54.42,2020-01-14 15:00:00
1/14/2020,H16,52.9,2020-01-14 16:00:00
1/14/2020,H17,55.02,2020-01-14 17:00:00
1/14/2020,H18,45.06,2020-01-14 18:00:00
1/14/2020,H19,38.62,2020-01-14 19:00:00
1/14/2020,H20,31.39,2020-01-14 20:00:00
1/14/2020,H21,32.01,2020-01-14 21:00:00
1/14/2020,H22,31.5,2020-01-14 22:00:00
1/14/2020,H23,29.66,2020-01-14 23:00:00
1/14/2020,H24,29.94,2020-01-14 00:00:00
1/15/2020,H1,19.9,2020-01-15 01:00:00
1/15/2020,H2,26.08,2020-01-15 02:00:00
1/15/2020,H3,35.01,2020-01-15 03:00:00
1/15/2020,H4,43.95,2020-01-15 04:00:00
1/15/2020,H5,43.53,2020-01-15 05:00:00
1/15/2020,H6,41.0,2020-01-15 06:00:00
1/15/2020,H7,38.86,2020-01-15 07:00:00
1/15/2020,H8,38.05,2020-01-15 08:00:00
1/15/2020,H9,38.02,2020-01-15 09:00:00
1/15/2020,H10,38.09,2020-01-15 10:00:00
1/15/2020,H11,39.48,2020-01-15 11:00:00
1/15/2020,H12,40.23,2020-01-15 12:00:00
1/15/2020,H13,43.0,2020-01-15 13:00:00
1/15/2020,H14,46.44,2020-01-15 14:00:00
1/15/2020,H15,54.34,2020-01-15 15:00:00
1/15/2020,H16,50.6,2020-01-15 16:00:00
1/15/2020,H17,42.61,2020-01-15 17:00:00
1/15/2020,H18,39.32,2020-01-15 18:00:00
1/15/2020,H19,36.01,2020-01-15 19:00:00
1/15/2020,H20,30.05,2020-01-15 20:00:00
1/15/2020,H21,36.31,2020-01-15 21:00:00
1/15/2020,H22,29.75,2020-01-15 22:00:00
1/15/2020,H23,23.02,2020-01-15 23:00:00
1/15/2020,H24,16.29,2020-01-15 00:00:00
1/16/2020,H1,21.56,2020-01-16 01:00:00
1/16/2020,H2,24.83,2020-01-16 02:00:00
1/16/2020,H3,28.46,2020-01-16 03:00:00
1/16/2020,H4,34.37,2020-01-16 04:00:00
1/16/2020,H5,33.04,2020-01-16 05:00:00
1/16/2020,H6,30.64,2020-01-16 06:00:00
1/16/2020,H7,28.06,2020-01-16 07:00:00
1/16/2020,H8,28.41,2020-01-16 08:00:00
1/16/2020,H9,29.12,2020-01-16 09:00:00
1/16/2020,H10,27.25,2020-01-16 10:00:00
1/16/2020,H11,26.66,2020-01-16 11:00:00
1/16/2020,H12,27.08,2020-01-16 12:00:00
1/16/2020,H13,28.79,2020-01-16 13:00:00
1/16/2020,H14,32.9,2020-01-16 14:00:00
1/16/2020,H15,38.08,2020-01-16 15:00:00
1/16/2020,H16,51.19,2020-01-16 16:00:00
1/16/2020,H17,47.93,2020-01-16 17:00:00
1/16/2020,H18,40.83,2020-01-16 18:00:00
1/16/2020,H19,37.81,2020-01-16 19:00:00
1/16/2020,H20,32.56,2020-01-16 20:00:00
1/16/2020,H21,21.77,2020-01-16 21:00:00
1/16/2020,H22,20.55,2020-01-16 22:00:00
1/16/2020,H23,18.78,2020-01-16 23:00:00
1/16/2020,H24,18.48,2020-01-16 00:00:00
1/17/2020,H1,10.01,2020-01-17 01:00:00
1/17/2020,H2,9.01,2020-01-17 02:00:00
1/17/2020,H3,8.97,2020-01-17 03:00:00
1/17/2020,H4,12.84,2020-01-17 04:00:00
1/17/2020,H5,14.17,2020-01-17 05:00:00
1/17/2020,H6,14.1,2020-01-17 06:00:00
1/17/2020,H7,13.3,2020-01-17 07:00:00
1/17/2020,H8,15.87,2020-01-17 08:00:00
1/17/2020,H9,15.43,2020-01-17 09:00:00
1/17/2020,H10,10.53,2020-01-17 10:00:00
1/17/2020,H11,10.09,2020-01-17 11:00:00
1/17/2020,H12,10.33,2020-01-17 12:00:00
1/17/2020,H13,14.04,2020-01-17 13:00:00
1/17/2020,H14,22.68,2020-01-17 14:00:00
1/17/2020,H15,28.11,2020-01-17 15:00:00
1/17/2020,H16,39.92,2020-01-17 16:00:00
1/17/2020,H17,51.36,2020-01-17 17:00:00
1/17/2020,H18,41.6,2020-01-17 18:00:00
1/17/2020,H19,33.28,2020-01-17 19:00:00
1/17/2020,H20,25.98,2020-01-17 20:00:00
1/17/2020,H21,27.07,2020-01-17 21:00:00
1/17/2020,H22,24.54,2020-01-17 22:00:00
1/17/2020,H23,21.77,2020-01-17 23:00:00
1/17/2020,H24,20.97,2020-01-17 00:00:00
1/18/2020,H1,18.65,2020-01-18 01:00:00
1/18/2020,H2,21.95,2020-01-18 02:00:00
1/18/2020,H3,40.05,2020-01-18 03:00:00
1/18/2020,H4,38.06,2020-01-18 04:00:00
1/18/2020,H5,41.93,2020-01-18 05:00:00
1/18/2020,H6,49.0,2020-01-18 06:00:00
1/18/2020,H7,41.94,2020-01-18 07:00:00
1/18/2020,H8,40.58,2020-01-18 08:00:00
1/18/2020,H9,45.02,2020-01-18 09:00:00
1/18/2020,H10,45.64,2020-01-18 10:00:00
1/18/2020,H11,42.96,2020-01-18 11:00:00
1/18/2020,H12,42.67,2020-01-18 12:00:00
1/18/2020,H13,44.19,2020-01-18 13:00:00
1/18/2020,H14,46.26,2020-01-18 14:00:00
1/18/2020,H15,44.55,2020-01-18 15:00:00
1/18/2020,H16,45.02,2020-01-18 16:00:00
1/18/2020,H17,51.21,2020-01-18 17:00:00
1/18/2020,H18,49.35,2020-01-18 18:00:00
1/18/2020,H19,50.39,2020-01-18 19:00:00
1/18/2020,H20,43.74,2020-01-18 20:00:00
1/18/2020,H21,17.5,2020-01-18 21:00:00
1/18/2020,H22,12.51,2020-01-18 22:00:00
1/18/2020,H23,11.01,2020-01-18 23:00:00
1/18/2020,H24,10.05,2020-01-18 00:00:00
1/19/2020,H1,28.71,2020-01-19 01:00:00
1/19/2020,H2,30.42,2020-01-19 02:00:00
1/19/2020,H3,39.91,2020-01-19 03:00:00
1/19/2020,H4,44.03,2020-01-19 04:00:00
1/19/2020,H5,45.7,2020-01-19 05:00:00
1/19/2020,H6,47.29,2020-01-19 06:00:00
1/19/2020,H7,49.8,2020-01-19 07:00:00
1/19/2020,H8,49.7,2020-01-19 08:00:00
1/19/2020,H9,47.22,2020-01-19 09:00:00
1/19/2020,H10,47.23,2020-01-19 10:00:00
1/19/2020,H11,44.95,2020-01-19 11:00:00
1/19/2020,H12,43.88,2020-01-19 12:00:00
1/19/2020,H13,45.05,2020-01-19 13:00:00
1/19/2020,H14,47.03,2020-01-19 14:00:00
1/19/2020,H15,48.94,2020-01-19 15:00:00
1/19/2020,H16,51.58,2020-01-19 16:00:00
1/19/2020,H17,53.71,2020-01-19 17:00:00
1/19/2020,H18,53.81,2020-01-19 18:00:00
1/19/2020,H19,47.21,2020-01-19 19:00:00
1/19/2020,H20,46.59,2020-01-19 20:00:00
1/19/2020,H21,22.99,2020-01-19 21:00:00
1/19/2020,H22,20.54,2020-01-19 22:00:00
1/19/2020,H23,18.91,2020-01-19 23:00:00
1/19/2020,H24,18.08,2020-01-19 00:00:00
1/20/2020,H1,23.29,2020-01-20 01:00:00
1/20/2020,H2,23.14,2020-01-20 02:00:00
1/20/2020,H3,23.07,2020-01-20 03:00:00
1/20/2020,H4,25.6,2020-01-20 04:00:00
1/20/2020,H5,26.12,2020-01-20 05:00:00
1/20/2020,H6,27.0,2020-01-20 06:00:00
1/20/2020,H7,26.78,2020-01-20 07:00:00
1/20/2020,H8,27.63,2020-01-20 08:00:00
1/20/2020,H9,27.07,2020-01-20 09:00:00
1/20/2020,H10,24.62,2020-01-20 10:00:00
1/20/2020,H11,24.0,2020-01-20 11:00:00
1/20/2020,H12,24.51,2020-01-20 12:00:00
1/20/2020,H13,27.99,2020-01-20 13:00:00
1/20/2020,H14,36.11,2020-01-20 14:00:00
1/20/2020,H15,41.99,2020-01-20 15:00:00
1/20/2020,H16,38.89,2020-01-20 16:00:00
1/20/2020,H17,47.62,2020-01-20 17:00:00
1/20/2020,H18,52.55,2020-01-20 18:00:00
1/20/2020,H19,42.81,2020-01-20 19:00:00
1/20/2020,H20,35.35,2020-01-20 20:00:00
1/20/2020,H21,37.96,2020-01-20 21:00:00
1/20/2020,H22,32.9,2020-01-20 22:00:00
1/20/2020,H23,30.9,2020-01-20 23:00:00
1/20/2020,H24,28.76,2020-01-20 00:00:00
1/21/2020,H1,37.8,2020-01-21 01:00:00
1/21/2020,H2,41.47,2020-01-21 02:00:00
1/21/2020,H3,54.01,2020-01-21 03:00:00
1/21/2020,H4,63.93,2020-01-21 04:00:00
1/21/2020,H5,65.2,2020-01-21 05:00:00
1/21/2020,H6,60.0,2020-01-21 06:00:00
1/21/2020,H7,57.27,2020-01-21 07:00:00
1/21/2020,H8,54.4,2020-01-21 08:00:00
1/21/2020,H9,51.43,2020-01-21 09:00:00
1/21/2020,H10,49.66,2020-01-21 10:00:00
1/21/2020,H11,48.91,2020-01-21 11:00:00
1/21/2020,H12,50.01,2020-01-21 12:00:00
1/21/2020,H13,51.43,2020-01-21 13:00:00
1/21/2020,H14,56.03,2020-01-21 14:00:00
1/21/2020,H15,62.77,2020-01-21 15:00:00
1/21/2020,H16,71.93,2020-01-21 16:00:00
1/21/2020,H17,69.92,2020-01-21 17:00:00
1/21/2020,H18,59.8,2020-01-21 18:00:00
1/21/2020,H19,52.91,2020-01-21 19:00:00
1/21/2020,H20,45.25,2020-01-21 20:00:00
1/21/2020,H21,31.0,2020-01-21 21:00:00
1/21/2020,H22,25.94,2020-01-21 22:00:00
1/21/2020,H23,24.9,2020-01-21 23:00:00
1/21/2020,H24,23.49,2020-01-21 00:00:00
1/22/2020,H1,34.13,2020-01-22 01:00:00
1/22/2020,H2,36.07,2020-01-22 02:00:00
1/22/2020,H3,47.88,2020-01-22 03:00:00
1/22/2020,H4,54.19,2020-01-22 04:00:00
1/22/2020,H5,57.15,2020-01-22 05:00:00
1/22/2020,H6,53.48,2020-01-22 06:00:00
1/22/2020,H7,50.55,2020-01-22 07:00:00
1/22/2020,H8,47.46,2020-01-22 08:00:00
1/22/2020,H9,38.85,2020-01-22 09:00:00
1/22/2020,H10,35.95,2020-01-22 10:00:00
1/22/2020,H11,33.99,2020-01-22 11:00:00
1/22/2020,H12,34.3,2020-01-22 12:00:00
